Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm
1,1.94089605,0.68302,1.48939551,0.5461,1.29233944
2,1.74763221,0.57914,1.323029,0.4586,1.25017965
3,1.6505252,0.52764,1.1898343,0.4037,1.20946896
4,1.58037069,0.49314,1.10923814,0.3618,1.16875458
5,1.52086065,0.46442,1.10454396,0.3586,1.13176632
6,1.4798406,0.4431,1.01156859,0.3292,1.10191619
7,1.4382245,0.42214,0.939519039,0.2816,1.06213963
8,1.4064177,0.40822,0.867623695,0.2619,1.02984214
9,1.37943164,0.39902,0.883005026,0.2656,0.998230278
10,1.35164586,0.38654,0.829243159,0.2468,0.980853796
11,1.32755526,0.37674,0.84859078,0.2501,0.96241039
12,1.30599445,0.3668,0.821279148,0.2467,0.947922707
13,1.28877606,0.35814,0.772494715,0.2206,0.929219842
14,1.27399145,0.35326,0.873807948,0.2438,0.910728931
15,1.25906702,0.34674,0.782842658,0.2216,0.900398016
16,1.24790694,0.34054,0.743418254,0.2131,0.895351291
17,1.23103379,0.33596,0.774519965,0.2066,0.884491682
18,1.22192454,0.33236,0.793598049,0.2309,0.877727211
19,1.20560818,0.3251,0.725088913,0.2102,0.874972701
20,1.19808471,0.3234,0.721937861,0.2029,0.869698644
21,1.18164832,0.31846,0.708051123,0.1891,0.864698946
22,1.17346251,0.31476,0.725224895,0.1966,0.860644817
23,1.16053845,0.31064,0.697894621,0.1954,0.862542987
24,1.15134114,0.3065,0.670490336,0.1896,0.869564712
25,1.14334014,0.30506,0.670858734,0.1885,0.866848648
26,1.13006418,0.3025,0.675774244,0.1912,0.872105181
27,1.11944334,0.29816,0.662918398,0.1871,0.881699562
28,1.10993221,0.29526,0.684587021,0.1949,0.881324887
29,1.09987756,0.29254,0.705698153,0.1879,0.886030674
30,1.09016028,0.28916,0.690604305,0.1872,0.894752026
31,1.07772362,0.28596,0.696492682,0.1865,0.914098144
32,1.0708684,0.28456,0.696916113,0.1859,0.920942247
33,1.05873748,0.28228,0.653459111,0.1801,0.938541532
34,1.04993871,0.28004,0.687939912,0.1851,0.95488739
35,1.0411599,0.27626,0.665519438,0.1808,0.967692733
36,1.03440988,0.27492,0.657150878,0.187,0.983694971
37,1.01914665,0.27152,0.684312527,0.1789,1.00328922
38,1.01042023,0.27126,0.699170154,0.1859,1.02498913
39,1.00108988,0.26714,0.651367824,0.1807,1.05444193
40,0.996143131,0.26614,0.686254539,0.1847,1.07074904
41,0.980399984,0.26264,0.654416112,0.1775,1.09817982
42,0.970646264,0.26204,0.667766561,0.1846,1.12640345
43,0.960735325,0.26136,0.644161827,0.1769,1.16053295
44,0.948097807,0.25624,0.725370764,0.1935,1.19507182
45,0.940152108,0.2562,0.705305097,0.1876,1.22800851
46,0.93150315,0.25266,0.696877422,0.1875,1.2592876
47,0.91640348,0.2495,0.707905779,0.1952,1.3005271
48,0.907823303,0.24956,0.75935298,0.2,1.33300364
49,0.901617579,0.24878,0.693149249,0.1925,1.36837256
50,0.887711484,0.24438,0.682371334,0.1908,1.42276955
51,0.875707755,0.24518,0.725971328,0.1983,1.47148132
52,0.873494425,0.24342,0.746012526,0.2022,1.50663376
53,0.86201343,0.24094,0.73524671,0.1999,1.55380845
54,0.850788444,0.23986,0.708124768,0.1926,1.59827399
55,0.832354004,0.23492,0.803061804,0.2088,1.66430235
56,0.825743169,0.23096,0.739702072,0.2017,1.72207189
57,0.814843027,0.23144,0.732907175,0.2012,1.7794652
58,0.806322354,0.23182,0.737907752,0.2024,1.8398025
59,0.795225908,0.22642,0.735889862,0.2012,1.89481008
60,0.786899574,0.22712,0.78559463,0.2129,1.96198618
61,0.776391383,0.22336,0.871702259,0.2299,2.03718781
62,0.766186396,0.22108,0.80473123,0.2209,2.1029892
63,0.759976952,0.22076,0.793284122,0.2164,2.16677332
64,0.745087044,0.217,0.786956908,0.2143,2.24293947
65,0.737629339,0.21594,0.866823997,0.2331,2.31151938
66,0.728168995,0.21446,0.890068535,0.243,2.37562084
67,0.708294959,0.20882,0.863421717,0.2332,2.49225116
68,0.705636728,0.21054,0.798240211,0.2163,2.56396055
69,0.696185034,0.2083,0.837107675,0.2203,2.64309788
70,0.682642474,0.20482,0.895829805,0.2426,2.73544025
71,0.67965388,0.20396,0.833961126,0.2302,2.81959963
72,0.667788296,0.20044,0.879921639,0.2332,2.91129017
73,0.655401195,0.19882,0.94350332,0.2543,3.00362873
74,0.644594123,0.19672,0.885511295,0.2375,3.10338783
75,0.636897592,0.19558,0.970178056,0.2674,3.20973206
76,0.628557045,0.1931,0.938556755,0.2511,3.32287073
77,0.61859304,0.1902,0.845809048,0.2263,3.44233727
78,0.612398593,0.18842,0.907145882,0.2509,3.53389215
79,0.604542545,0.18652,0.91865738,0.2436,3.65353847
80,0.596314993,0.1842,0.890135553,0.2334,3.75243664
81,0.584798132,0.18174,0.976280074,0.2674,3.87807178
82,0.572506439,0.17884,0.969730764,0.2577,4.01925087
83,0.572684863,0.18034,0.938675013,0.2498,4.11239243
84,0.559563,0.17592,0.960768403,0.2546,4.23294878
85,0.545245931,0.17212,1.02215302,0.2636,4.39581871
86,0.540879819,0.1721,1.07080136,0.2808,4.50954533
87,0.528880986,0.16762,0.984346585,0.2593,4.66949368
88,0.535386926,0.16998,0.962757356,0.2464,4.76903677
89,0.520869771,0.16768,0.994780546,0.2681,4.89532042
90,0.50984903,0.1642,0.962541486,0.2445,5.04187059
91,0.506782519,0.16196,1.02933601,0.2689,5.17610931
92,0.500540386,0.16036,1.01387529,0.2672,5.31595087
93,0.491356274,0.15782,1.16967999,0.2982,5.44895887
94,0.478112009,0.15374,1.01319511,0.2632,5.63182116
95,0.484618089,0.1572,1.05333954,0.262,5.75405407
96,0.46446907,0.15022,1.04625706,0.2666,5.9428997
97,0.467593712,0.1512,1.05544485,0.2566,6.05905628
98,0.457516091,0.14844,1.12715273,0.2839,6.20999098
99,0.450452059,0.14722,1.06371827,0.266,6.36392927
100,0.437804503,0.14178,1.1461434,0.2755,6.55289984
