Epoch,Train Loss,Train Error,Test Loss,Test Error,Path Norm,Exact Path Norm
1,2.15318502,0.805,1.91644965,0.7333,29.4476929,4.21669253
2,2.03194853,0.73474,1.78035212,0.6561,30.4798927,38.4473815
3,1.98106894,0.71192,1.72822766,0.635,30.8903732,-12.5941871
4,1.95688984,0.69834,1.69400431,0.6216,31.7635975,-31.1203554
5,1.93405418,0.68376,1.67201067,0.6094,32.9124336,66.7883507
6,1.91444925,0.67084,1.63326931,0.5907,32.1011238,37.3532822
7,1.89519601,0.66126,1.60981294,0.5812,33.1858482,47.5787447
8,1.87921592,0.65188,1.56532416,0.5656,33.6880417,31.4655481
9,1.86249442,0.64262,1.54756084,0.5543,32.7598152,57.066816
10,1.84834427,0.63422,1.5222836,0.5425,32.205452,-4.00023309
11,1.83318424,0.62568,1.50799804,0.5393,31.7342796,29.3856228
12,1.82355024,0.61908,1.49137503,0.5308,32.3152008,40.9544129
13,1.81595616,0.61666,1.47508472,0.5197,31.6031551,48.4546975
14,1.80472432,0.61124,1.46505839,0.5191,31.9681911,-5.97785841
15,1.79752163,0.61006,1.45574586,0.5062,32.7005234,43.0868136
16,1.79037819,0.60322,1.4300275,0.5015,31.7666607,32.6046542
17,1.78278113,0.5991,1.43760097,0.5023,32.6162796,85.9352326
18,1.7730399,0.59446,1.41461164,0.4914,33.2671738,14.1466985
19,1.76458397,0.58996,1.40057323,0.4864,33.6996002,64.6830217
20,1.76030112,0.58752,1.39504142,0.4823,33.3951149,61.4847732
21,1.75242867,0.58152,1.38840724,0.4772,33.1944504,17.4721949
22,1.74585096,0.57956,1.3907465,0.479,33.8827667,92.5843133
23,1.73886471,0.57566,1.3648218,0.4666,33.0851593,60.2783041
24,1.73619381,0.57568,1.35871221,0.4666,34.687355,25.3408798
25,1.73061169,0.57156,1.35097309,0.4604,33.4761391,28.4111266
26,1.72361319,0.56862,1.3386212,0.4593,33.4614334,35.2668265
27,1.71487534,0.56304,1.33484244,0.4549,33.8103409,24.4280824
28,1.71277712,0.5625,1.32148427,0.4521,34.0075302,49.8442912
29,1.70532024,0.55734,1.31057958,0.4482,34.5326767,39.4717054
30,1.70235759,0.55784,1.3059015,0.4411,34.1728668,97.6629248
31,1.6975609,0.55424,1.30100871,0.4407,34.3255501,16.9575042
32,1.69190426,0.54834,1.29162728,0.4364,34.4821663,18.9371055
33,1.68506773,0.55036,1.28804728,0.4355,34.1521149,7.23175221
34,1.67904845,0.54542,1.28528258,0.4347,34.3833084,37.9894634
35,1.67438413,0.54044,1.26735869,0.4273,34.4117966,2.73737218
36,1.6735236,0.54166,1.26943506,0.4295,34.2185364,32.9547719
37,1.66883856,0.53862,1.26208961,0.4238,34.3090935,56.4086913
38,1.66420758,0.53802,1.26622282,0.4233,34.2553406,24.5391234
39,1.6578315,0.5347,1.25083279,0.4217,34.2282448,64.5396813
40,1.65828449,0.53546,1.24494504,0.4199,34.1028862,50.8550037
41,1.65255903,0.52892,1.24475707,0.419,33.5637703,18.1270288
42,1.64791106,0.52802,1.24976809,0.4162,34.9098892,67.2508538
43,1.64444559,0.52894,1.23723316,0.4173,33.39608,77.0004098
44,1.63915353,0.52408,1.22227408,0.4109,34.7931061,38.4763838
45,1.63610429,0.52256,1.22240288,0.4084,34.4086227,75.7137378
46,1.63309975,0.52242,1.22043168,0.407,34.6135521,41.8574292
47,1.63049436,0.52204,1.21978157,0.4056,34.919548,68.2256158
48,1.63031802,0.51792,1.20682247,0.4045,34.6452332,53.3819294
49,1.6213537,0.5162,1.20491871,0.4018,34.7285995,67.2286922
50,1.62180465,0.51538,1.19987534,0.401,35.6472511,56.3052844
51,1.6186356,0.51446,1.20625169,0.4,35.4256783,64.413181
52,1.61284827,0.51172,1.20474829,0.4041,34.8190765,45.8824186
53,1.60841699,0.50764,1.18949327,0.3967,35.7298737,45.108924
54,1.60658723,0.50992,1.18476274,0.3908,35.8841782,70.3453114
55,1.60657217,0.50864,1.19765943,0.3951,36.5869064,55.7976866
56,1.60662507,0.50834,1.18293448,0.3884,35.3991318,96.2358247
57,1.59710283,0.5075,1.18668195,0.3896,36.0639687,83.3315039
58,1.59902858,0.50624,1.16986519,0.3856,36.7102509,53.5219248
59,1.59478336,0.50392,1.18533369,0.3911,35.6474953,30.6712181
60,1.59135476,0.50218,1.16846141,0.3812,35.5459061,8.79683324
61,1.59404578,0.50002,1.16702412,0.3839,35.9454803,39.0554921
62,1.5885207,0.49922,1.15017634,0.3788,35.7298889,54.3433867
63,1.58515449,0.49844,1.17005448,0.3848,35.5986786,59.0504368
64,1.58421897,0.49826,1.15260355,0.3721,35.5276871,41.5574058
65,1.58037259,0.4964,1.14796667,0.3735,36.5129089,50.4513973
66,1.57896456,0.49482,1.14851639,0.3732,36.3003159,71.059033
67,1.57629067,0.49472,1.14303869,0.3717,36.4757767,64.5420703
68,1.57321637,0.49216,1.15163669,0.3702,36.1398735,55.0181724
69,1.57056426,0.4938,1.14265937,0.3723,35.9412155,78.687189
70,1.56709858,0.48934,1.13451734,0.3676,36.9589233,62.1554994
71,1.56602797,0.48888,1.13463777,0.3696,37.5757828,68.399355
72,1.56561126,0.48958,1.12516369,0.365,37.1657944,50.0425379
73,1.5596572,0.48446,1.12850656,0.3668,37.8460999,53.8589376
74,1.56040795,0.48618,1.1248675,0.3637,37.9102097,92.0802208
75,1.56051809,0.48516,1.11980521,0.3624,37.8766785,103.91696
76,1.55448559,0.48474,1.13051406,0.3689,37.4278793,69.084755
77,1.55259865,0.48292,1.12010761,0.3606,38.0919571,52.3324048
78,1.54880839,0.48072,1.11576014,0.3625,37.8897247,84.8141529
79,1.54755001,0.48016,1.12807368,0.3579,37.9903336,56.0847943
80,1.54777309,0.47874,1.11570454,0.3565,38.4290771,94.9546594
81,1.54297209,0.47794,1.10357172,0.353,37.7781219,80.1895202
82,1.54590786,0.48138,1.10686012,0.3568,38.7093887,54.3116495
83,1.54049424,0.47632,1.10489591,0.3504,38.461647,55.836658
84,1.53778531,0.476,1.09459099,0.3504,38.4570541,49.5694384
85,1.53903682,0.47586,1.10642967,0.3579,38.7865295,21.0213905
86,1.53823028,0.47594,1.10359155,0.3489,39.1553879,50.213245
87,1.53863049,0.47464,1.10465651,0.3511,37.8810425,98.0512719
88,1.5332584,0.47404,1.0917004,0.3512,39.4403763,61.2630631
89,1.53171477,0.47394,1.09090033,0.3483,39.2706146,6.89258259
90,1.53006555,0.47372,1.09578333,0.3547,39.3370552,30.6092017
91,1.52796426,0.471,1.0851725,0.3415,39.7173462,91.7941148
92,1.52831895,0.4694,1.09104428,0.3423,39.4116821,77.3671428
93,1.52320063,0.47094,1.08650849,0.3455,40.6172409,125.232936
94,1.52380317,0.4682,1.08158802,0.3452,40.0313721,11.6295941
95,1.52086569,0.46752,1.07681489,0.3444,40.2296906,84.6751491
96,1.51942588,0.4656,1.07817305,0.3396,40.119072,51.4284841
97,1.51744977,0.46634,1.08357376,0.3387,40.371109,65.5734998
98,1.51340452,0.46606,1.08090114,0.3421,40.3391266,82.2473928
99,1.51403034,0.46484,1.07132857,0.3394,40.568634,39.133857
